Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C
Anesthesia Machine,Max989,Johnson & Johnson,v4.4,2020-09-24,Class IIb,K186101,Adult and Pediatric,Indicated for electrolyte balance surveillance in infection control protocols.,,Chemical Sterilization,24,21,,62.51,8
Surgical Robot,Model 9468,Mölnlycke Health Care,Rev. 1.0,2025-01-28,Class IIb,H695791,All,Indicated for respiratory rate surveillance in infection control protocols.,Do not use if battery depletion is detected or routine maintenance has expired.,Dry Heat,25,23,8,19.7,14
Blood Pressure Monitor,X-4451,Stryker,2022-11-F,2019-06-05,Class IIb,H436280,Pediatric (2-18),Used for intraoperative calibration monitoring during complex cardiac surgeries.,Avoid use if patient has sepsis or history of embolism.,Autoclave,14,11,9,4.36,23
Nebulizer,Model 9836,Sartorius,v5.3,2022-12-11,Class IIb,IDE476793,Adult,Used for emergency blood transfusion in acute cancer situations requiring immediate care.,Avoid use in patients with ports and catheters or pins and wires. Not suitable for emergency situations.,Chemical Sterilization,4,9,6,6.26,30
Digital Thermometer,Pro621,Karl Storz,Version 1,2021-03-05,Class III,D134864,Adult (18-65),Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Do not use during general anesthesia administration or in sedated.,Ethylene Oxide (EtO),4,9,4,0.43,17
ECG Machine,EDW624,Edwards Lifesciences,v4.8,2016-01-24,Class III,D986719,Adult (18-65),Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.,Not suitable for use in aircraft cabins with radiation or during unsupervised use.,Single-Use Sterile,8,4,,15.83,13
Defibrillator,OLY224,Olympus Corporation,Rev. 3.3,2022-06-30,Class I,H199730,Infant (0-2),Intended for life support evaluation in rehabilitation medicine for critical illness recovery.,Not recommended for patients with hepatic dysfunction or severe severe hypertension.,Autoclave,17,24,4,9.22,32
CPAP Machine,Model 2265,IDEXX Laboratories,Rev. 6.8,2015-04-26,Class III,NDA111946,Neonatal,Designed for thermal therapy optimization in chronic disease management programs.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),9,14,13,8.58,39
Pulse Oximeter,Plus254,Synthes,Rev. 10.7,2025-11-17,Class IIa,CE5536,Adult,Intended for mechanical ventilation delivery in palliative care settings for terminal patients.,Not recommended in presence of severe cardiac arrhythmias or at infected areas locations.,Not Applicable,5,9,3,0.19,31
Insulin Pump,Model 5804,ResMed,Version 20,2018-06-10,Class I,D132753,Neonatal,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with hepatic dysfunction or burns risk.,Dry Heat,11,11,12,1.57,27
Surgical Robot,ABB184,Abbott,v4.0,2019-09-23,Class III,NMPA-697769,Geriatric,Intended for joint replacement delivery in palliative care settings for terminal patients.,Avoid use in patients with sepsis or altered consciousness.,Hydrogen Peroxide Plasma,9,13,4,2.92,29
Patient Monitor,Model 3982,Dexcom,Version 4,2025-11-20,Class I,PMDA-649312,Adult (>65),Used for intraoperative data analysis monitoring during complex urological surgeries.,Not suitable for use with vasoconstrictors or in extreme temperature environments.,Hydrogen Peroxide Plasma,8,14,8,6.67,18
Blood Pressure Monitor,HOL392,Hologic,Version 16,2018-08-24,Class I,PMDA-384899,Infant (0-2),Intended for therapeutic delivery therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with severe respiratory failure or uncontrolled sepsis.,Chemical Sterilization,9,12,7,5.25,32
CPAP Machine,WAT738,Waters Corporation,v9.3,2019-05-09,Class II,NDA181807,Pediatric (2-18),Designed for home-based dialysis in stable mentally impaired patients with chronic stroke.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Autoclave,9,8,12,17.05,10
Defibrillator,Model 2552,Coloplast,Version 14,2017-08-13,Class I,NMPA-916604,Neonatal,Intended for defibrillation delivery in palliative care settings for terminal patients.,Contraindicated in patients with immunodeficiency or on cleaning solvents.,Not Applicable,18,19,13,12.47,13
Catheter,COO602,Cooper Companies,Version 7,2015-08-30,Class IIa,NMPA-129529,Infant (0-2),Designed for home-based thermal therapy in stable radiation therapy patients with chronic infectious diseases.,Do not use if sensor failure is detected or quality control has expired.,Dry Heat,10,9,4,18.39,32
Insulin Pump,Pro372,BioMérieux,2023-04-O,2015-02-09,Class I,Q337597,Adult,Designed for perioperative cardiac output management during oncological interventions.,Avoid use in patients with pacemakers or altered consciousness.,Not Applicable,8,12,8,5.96,39
CPAP Machine,Model 8398,IDEXX Laboratories,v15.4,2015-05-23,Class IIa,Q332147,Infant (0-2),Indicated for continuous blood pressure monitoring during endoscopic surgical procedures.,Avoid use in patients with skin allergies or uncontrolled metal implants.,Ethylene Oxide (EtO),3,6,14,3.77,
Wound Care System,Max616,3M Healthcare,Version 20,2015-07-30,Class III,K725289,Adult (18-65),Indicated for emergency blood gas analysis stabilization in trauma center resuscitation rooms.,Contraindicated in presence of flammable anesthetics or during cryotherapy.,,3,7,4,19.03,27
Patient Monitor,STR357,Stryker,Rev. 1.9,2022-03-19,Class III,PMDA-526111,Adult and Pediatric,Designed for cardiac therapy optimization in chronic disease management programs.,Not recommended for use in sedated patients or those with severe anemia.,Dry Heat,13,16,10,3.76,39
Digital Thermometer,Pro323,Zeiss Medical Technology,Rev. 3.6,2018-07-16,Class IIb,H554526,Adult (18-65),Designed for joint replacement support in neonatal intensive care environments.,Not suitable for use in cleaning protocols with radiation or during power outages.,Dry Heat,7,14,6,0.27,16
Pulse Oximeter,Model 4470,,2022-06-B,2015-08-13,Class I,PMDA-625037,Adult (>65),Indicated for blood pressure analysis in laboratory diagnostic testing environments.,Do not use during general anesthesia administration or in sedated.,Dry Heat,3,6,5,0.14,23
X-Ray Machine,Model 6214,Aesculap,v4.1,2017-12-29,Class IIb,MDR-417903,Adult and Pediatric,Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,Contraindicated in presence of muscle relaxants or during microwave diathermy.,Hydrogen Peroxide Plasma,7,7,8,5.35,10
Defibrillator,X-4464,Boston Scientific,Version 16,2017-05-26,Class III,PMDA-928376,Neonatal,Used for therapeutic thermal therapy in pediatric patients requiring defibrillation.,Avoid use in patients with skin allergies or altered consciousness.,Chemical Sterilization,21,18,8,1.78,36
Pacemaker,Pro146,Coloplast,Version 4,2016-03-05,Class IIb,H345251,Adult and Pediatric,Used for long-term compression therapy delivery in ambulatory care settings for cancer patients.,Do not use in patients with cardiomyopathy. Contraindicated in maintenance procedures.,Single-Use Sterile,9,5,20,0.1,42
Ventilator,ABB164,Abbott,v10.8,2025-05-04,Class III,HDE938502,All,Indicated for blood pressure surveillance in infection control protocols.,Avoid use if patient has pregnancy or is receiving antiseptics.,Not Applicable,15,29,19,52.29,39
Electrosurgical Unit,ALI371,Align Technology,Rev. 2.5,2019-05-03,Class I,P775751,Pediatric (2-18),Designed for wound care assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,,21,29,13,16.17,20
Ultrasound Scanner,Model 8477,Intuitive Surgical,Rev. 1.1,2019-09-14,Class IIb,NMPA-684667,Adult (18-65),Indicated for diagnostic sterilization to assess orthopedic injuries in clinical environments.,Not suitable for use with alcohol-based solutions or in explosive atmospheres.,Ethylene Oxide (EtO),5,3,4,7.58,36
Catheter,Z-8479,Cooper Companies,Rev. 4.3,2023-01-20,Class III,H913821,All,Used for post-operative chemotherapy management in hospital recovery units.,Do not use if patient has known allergy to vasoconstrictors or hypersensitivity to conductive gels.,Gamma Irradiation,7,8,7,13.97,32
Infusion Pump,DEX248,Dexcom,2020-11-Q,2019-10-26,Class IIb,NDA715804,Adult (18-65),Intended for calibration support in cardiac catheterization laboratory environments.,Contraindicated in patients with severe hypertension or on radioactive materials.,Ethylene Oxide (EtO),14,14,6,,15
ECG Machine,Plus608,Olympus Corporation,2025-10-O,2023-01-21,Class IIb,PMDA-846907,Pediatric (2-18),Indicated for continuous intracranial pressure monitoring during endoscopic surgical procedures.,Not suitable for use in emergency situations with fire or during electromagnetic interference zones.,Single-Use Sterile,8,6,7,12.69,16
Nebulizer,Plus772,Cook Medical,2020-04-V,2020-02-08,Class I,NDA393061,All,Intended for infection prevention verification in quality assurance and device validation protocols.,Do not use if structural defects is present or incision is infected.,Hydrogen Peroxide Plasma,7,9,9,5.74,34
Electrosurgical Unit,AES311,Aesculap,Rev. 9.0,2025-01-08,Class IIb,UKCA28026,Adult (18-65),Designed for perioperative oxygen saturation management during thoracic interventions.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Not Applicable,20,27,5,,
Patient Monitor,Model 9209,Zeiss Medical Technology,Version 7,2020-04-26,Class IIa,NDA916136,Pediatric (2-18),Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),13,14,11,,35
CPAP Machine,Pro924,Sonova,v11.0,2017-07-22,Class II,BLA834987,Infant (0-2),Indicated for continuous electrolyte balance monitoring during reconstructive surgical procedures.,Not recommended in presence of cardiomyopathy or at open wounds locations.,UV Sterilization,6,7,7,7.3,14
Blood Glucose Monitor,Model 7484,Terumo,2022-09-Y,2018-01-17,Class IIa,IVDR-597125,Geriatric,Indicated for continuous blood gas analysis monitoring during transplant surgical procedures.,Contraindicated in presence of contrast agents or during microwave diathermy.,Steam Sterilization,15,16,5,0.38,29
Pulse Oximeter,Plus419,Mölnlycke Health Care,v5.8,2020-03-15,Class IIa,P544099,Adult (>65),Indicated for routine documentation screening in outpatient clinical facilities.,Avoid use in patients with peripheral vascular disease or severe skin allergies.,Hydrogen Peroxide Plasma,5,7,5,0.35,16
Electrosurgical Unit,Model 7890,Hoya Corporation,Rev. 4.1,2020-10-16,Class III,NDA673911,Neonatal,Indicated for continuous ECG readings monitoring during ophthalmic surgical procedures.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,15,22,3,10.64,33
Patient Monitor,BEC637,Becton Dickinson,v1.5,2020-03-17,Class III,,Infant (0-2),Intended for device maintenance verification in quality assurance and device validation protocols.,Avoid use in patients with contraceptive implants or ocular implants. Not suitable for explosive atmospheres.,Steam Sterilization,7,20,9,1.13,28
Infusion Pump,BAX866,Baxter International,Rev. 6.6,2024-08-30,Class IIa,UKCA52609,Pediatric (2-18),Designed for home-based wound irrigation in stable mentally impaired patients with chronic infectious diseases.,Contraindicated in patients with acute myocardial infarction or severe thrombocytopenia.,UV Sterilization,10,16,5,5.06,16
Surgical Drill,BEC662,Becton Dickinson,Rev. 9.7,2024-10-14,Class I,BLA443986,Geriatric,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with active infections or altered consciousness.,Single-Use Sterile,22,23,12,2.57,13
Defibrillator,C-6496,Alcon,v2.3,2025-05-27,Class III,P491885,Adult (>65),Used for intraoperative alarm management monitoring during complex emergency surgeries.,Avoid use in patients with active peripheral vascular disease or compromised respiratory function.,Ethylene Oxide (EtO),12,29,14,2.12,28
Surgical Drill,ZEI732,Zeiss Medical Technology,v1.7,2020-11-27,Class III,MDR-981589,Adult,Designed for perioperative oxygen saturation management during minimally invasive interventions.,Not suitable for use during diathermy procedures or X-ray.,Autoclave,24,15,12,7.67,18
CPAP Machine,Z-8636,Waters Corporation,Version 14,2015-12-20,Class II,P627841,Infant (0-2),Used for post-operative phototherapy management in hospital recovery units.,Contraindicated in patients with stroke or unable to follow instructions.,Autoclave,7,5,15,10.42,11
Anesthesia Machine,Model 6563,Terumo,Version 15,2021-08-22,Class III,BLA475183,Pediatric,Used for intraoperative device maintenance monitoring during complex urological surgeries.,Contraindicated in patients with hepatic dysfunction or severe stroke.,Ethylene Oxide (EtO),24,25,19,125.74,35
X-Ray Machine,B-5438,Cooper Companies,Rev. 4.5,2025-06-16,Class I,D501525,Neonatal,Used for intraoperative monitoring monitoring during complex oncological surgeries.,Do not use in patients with stroke. Contraindicated in fire hazard zones.,,8,15,9,3.14,14
Syringe Pump,Model 8062,Becton Dickinson,v1.7,2018-04-11,Class I,TGA-523623,Adult and Pediatric,Indicated for real-time respiratory rate assessment in emergency department triage protocols.,Avoid use if patient has malignant hyperthermia or is receiving blood thinners.,,14,14,11,7.13,36
Nebulizer,Pro486,IDEXX Laboratories,Version 10,2020-02-23,Class III,K548186,Geriatric,Indicated for routine calibration screening in outpatient clinical facilities.,Avoid use in patients with severe diabetes or altered cognitive function.,Pre-Sterilized,6,8,,3.96,30
Wound Care System,FRE555,Fresenius Medical Care,v14.0,2021-10-18,Class III,HC-477432,Pediatric,Indicated for diagnostic patient positioning to assess infectious diseases in clinical environments.,Avoid use in patients with dental implants or cardiac devices. Not suitable for unsupervised use.,Hydrogen Peroxide Plasma,3,9,4,11.39,32
Electrosurgical Unit,Model 1380,Aesculap,2020-05-N,2015-01-15,Class III,UKCA41361,Adult and Pediatric,Designed for intubation facilitation in telemedicine and remote patient monitoring.,Do not use in combination with flammable anesthetics or pain management modalities.,Ethylene Oxide (EtO),13,14,5,17.6,27
X-Ray Machine,B. 590,B. Braun,v1.9,2015-04-30,Class IIa,,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for diabetes patients.,Avoid use in patients with epilepsy or altered cognitive function.,Chemical Sterilization,2,5,11,17.75,16
Infusion Pump,BAX174,Baxter International,v12.0,2024-07-19,Class II,HDE327265,Adult (>65),Designed for life support in patients with cancer under medical supervision.,Do not use in patients with autoimmune disorders. Contraindicated in hyperbaric chambers.,Hydrogen Peroxide Plasma,15,10,7,5.22,23
Defibrillator,Max134,Thermo Fisher Scientific,Rev. 9.6,2017-06-02,Class IIb,IVDR-114310,Adult,Indicated for blood gas analysis surveillance in infection control protocols.,Do not use during local anesthesia administration or in comatose.,Chemical Sterilization,23,28,5,17.95,28
Pacemaker,X-6355,B. Braun,v11.4,2020-09-02,Class III,Q206793,Geriatric,Used for therapeutic oxygen therapy in terminally ill patients requiring medication administration.,Contraindicated in patients with renal insufficiency or severe hepatic dysfunction.,Steam Sterilization,3,7,15,0.11,40
Nebulizer,Pro135,Richard Wolf,2020-07-S,2022-05-16,Class I,HDE943956,Geriatric,Intended for monitoring and measuring ECG readings in paralyzed patients in hospital and clinical settings.,Avoid use in patients with neurostimulators or clips and coils. Not suitable for hyperbaric chambers.,Hydrogen Peroxide Plasma,2,6,7,3.86,10
Pulse Oximeter,JOH303,Johnson & Johnson,Rev. 4.1,2018-10-01,Class IIa,PMDA-693431,Pediatric (2-18),Designed for home-based wound irrigation in stable neonatal patients with chronic cardiac disorders.,Not suitable for use with chemotherapy drugs or in emergency situations.,UV Sterilization,8,4,6,0.2,27
Defibrillator,STE899,Steris,Rev. 10.3,2019-02-06,Class II,PMDA-564910,All,Indicated for continuous respiratory rate monitoring during transplant surgical procedures.,Do not use in combination with conductive gels or electrotherapy modalities.,Steam Sterilization,19,26,5,1.08,15
Catheter,SIE840,Siemens Healthineers,Rev. 2.6,2015-06-27,Class IIb,NMPA-619366,Adult and Pediatric,Designed for preventive screening assistance in geriatric care facilities for elderly patients.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,8,12,3,13.45,30
Blood Glucose Monitor,Plus152,Hologic,Rev. 8.4,2023-02-11,Class I,HDE873213,All,Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Pre-Sterilized,8,16,,0.34,25
Digital Thermometer,TER777,Terumo,Version 15,2024-01-26,Class IIb,HDE589668,Adult and Pediatric,Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use during general anesthesia administration or in sedated.,UV Sterilization,9,12,3,0.4,34
Patient Monitor,Model 1488,Mindray,Rev. 1.4,2018-09-19,Class I,IDE327227,Adult (18-65),Used for long-term dialysis delivery in ambulatory care settings for renal failure patients.,Not recommended for use in post-operative patients or those with bleeding disorders.,Autoclave,11,12,12,2.6,37
Pacemaker,B-3854,Dentsply Sirona,Rev. 6.6,2024-10-13,Class III,CE9182,Geriatric,Used for long-term drug delivery delivery in ambulatory care settings for orthopedic injuries patients.,Do not use if patient has known allergy to antibiotics or hypersensitivity to bronchodilators.,Autoclave,6,14,21,0.04,
Blood Glucose Monitor,Plus792,Medtronic,Version 7,2020-12-01,Class II,NMPA-328620,Neonatal,Designed for perioperative temperature management during neurological interventions.,Do not use in combination with magnetic materials or wound irrigation modalities.,Ethylene Oxide (EtO),5,18,5,0.4,31
Stent,GE 629,GE Healthcare,2025-03-A,2015-12-14,Class II,K358800,Geriatric,Indicated for routine documentation screening in outpatient clinical facilities.,Do not use if structural defects is present or incision is infected.,Steam Sterilization,5,12,25,0.13,37
Patient Monitor,ZEI602,Zeiss Medical Technology,2023-05-Q,2016-08-24,Class III,HC-823742,Adult (18-65),Used for intraoperative calibration monitoring during complex gastroenterological surgeries.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Steam Sterilization,8,18,12,3.49,
Patient Monitor,Plus768,Intuitive Surgical,Rev. 4.1,2017-02-24,Class I,PMDA-640772,Adult (18-65),Designed for wound care assistance in geriatric care facilities for elderly patients.,Avoid use in patients with heart valves or cochlear implants. Not suitable for explosive atmospheres.,Ethylene Oxide (EtO),11,20,,4.93,25
Dialysis Machine,A-6687,Aesculap,Rev. 6.8,2021-04-13,Class III,H741857,Adult (>65),Designed for intubation support in neonatal intensive care environments.,Avoid use in patients with acute myocardial infarction or altered cognitive function.,Not Applicable,13,9,9,22.62,16
Blood Pressure Monitor,A-1588,Boston Scientific,2022-09-M,2015-05-09,Class III,IVDR-606653,Adult (>65),Indicated for oxygen saturation optimization in sleep medicine centers for respiratory disorders.,Do not use in patients with thrombocytopenia or severe thrombocytopenia.,Chemical Sterilization,8,18,12,7.25,22
Surgical Robot,Z-2737,Alcon,Rev. 1.6,2017-12-18,Class III,UKCA86927,Adult (>65),Intended for calibration support in cardiac catheterization laboratory environments.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Autoclave,13,23,8,8.29,11
CPAP Machine,C-1297,Hoya Corporation,2023-07-O,2018-01-21,Class I,K213154,Adult and Pediatric,Indicated for real-time pH levels assessment in emergency department triage protocols.,Contraindicated in patients with severe cardiomyopathy or uncontrolled stroke.,Ethylene Oxide (EtO),10,5,,16.8,
Catheter,Plus785,Coloplast,Version 2,2025-07-01,Class I,BLA550893,Geriatric,Designed for preventive screening in patients with orthopedic injuries under medical supervision.,Not suitable for use in underwater environments with radiation or during underwater environments.,Ethylene Oxide (EtO),10,7,6,19.17,35
ECG Machine,Model 4538,Aesculap,Version 13,2017-09-16,Class I,NDA457677,Neonatal,Used for drug delivery administration in pediatric hospital units under specialist supervision.,,,6,15,10,2.63,13
Insulin Pump,Model 5606,Richard Wolf,Rev. 9.0,2018-11-06,Class III,TGA-113078,Infant (0-2),Used for post-operative oxygen therapy management in hospital recovery units.,Avoid use in patients with skin allergies or uncontrolled cardiomyopathy.,Autoclave,9,15,12,7.52,17
Patient Monitor,Pro540,IDEXX Laboratories,v7.6,2024-11-26,Class IIa,Q194072,Adult (>65),Intended for wound debridement delivery in palliative care settings for terminal patients.,Contraindicated in patients with coagulopathy or unable to follow instructions.,Dry Heat,6,13,6,1.29,39
Surgical Robot,RIC429,Richard Wolf,Version 6,2015-06-11,Class III,IDE557917,Neonatal,Indicated for emergency temperature stabilization in trauma center resuscitation rooms.,Not recommended in presence of malignant hyperthermia or at infected areas locations.,Chemical Sterilization,17,15,11,5.4,27
X-Ray Machine,Model 8238,Smith & Nephew,v13.9,2016-07-08,Class III,HC-165883,Adult (>65),Intended for specimen collection verification in quality assurance and device validation protocols.,Not recommended for use in chemotherapy patients or those with severe osteoporosis.,Not Applicable,3,13,14,17.65,16
CPAP Machine,Pro173,Synthes,Rev. 2.4,2025-01-13,Class III,HDE616946,Neonatal,Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Do not use during local anesthesia administration or in sedated.,Dry Heat,2,6,11,10.22,29
Wound Care System,THE752,Thermo Fisher Scientific,Rev. 9.5,2019-08-14,Class I,IVDR-525663,All,Designed for life support in patients with cancer under medical supervision.,Contraindicated in patients with stroke or severe severe cardiac arrhythmias.,Autoclave,10,8,8,4.04,31
Nebulizer,Model 7289,Nipro Corporation,Version 2,2015-02-22,Class I,Q864881,Adult (>65),Used for long-term electrotherapy delivery in ambulatory care settings for critical illness patients.,Do not use in patients with thrombocytopenia. Contraindicated in hyperbaric chambers.,Not Applicable,9,4,5,2.44,28
Defibrillator,Model 9751,ConvaTec,Version 14,2017-04-16,Class II,IVDR-559587,Adult (18-65),Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use if malformations is present or wound is infected.,Dry Heat,17,20,11,3.22,38
Insulin Pump,MED376,Medtronic,Rev. 1.1,2025-05-15,Class II,HC-999026,Adult and Pediatric,Designed for diagnostic assessment in patients with cardiac disorders under medical supervision.,Avoid use in patients with severe cardiac arrhythmias or uncontrolled pulmonary edema.,Hydrogen Peroxide Plasma,5,20,5,7.17,39
Catheter,NIP108,Nipro Corporation,2023-08-N,2016-06-07,Class III,CE8527,Pediatric,Intended for symptom relief therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with bleeding disorders or on alcohol-based solutions.,Gamma Irradiation,4,5,7,2.67,19
Dialysis Machine,Pro548,Stryker,v7.1,2016-04-15,Class I,P697097,Adult,Indicated for real-time blood gas analysis assessment in emergency department triage protocols.,,Steam Sterilization,10,12,20,130.25,23
Orthopedic Implant,Z-2418,Align Technology,2022-07-N,2018-02-11,Class I,P570208,Pediatric (2-18),Indicated for continuous pulmonary function monitoring during orthopedic surgical procedures.,Contraindicated in presence of corticosteroids or during radiofrequency ablation.,Steam Sterilization,8,11,7,0.07,38
Catheter,A-2794,Philips Healthcare,Version 15,2021-07-31,Class IIa,IDE235736,Adult (>65),Designed for wound debridement support in neonatal intensive care environments.,Do not use if battery depletion is detected or quality control has expired.,,8,9,4,16.46,12
Syringe Pump,Max753,Beckman Coulter,Rev. 7.0,2017-04-10,Class I,TGA-843330,Adult,Intended for emergency resuscitation therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with peripheral vascular disease or frostbite risk.,Ethylene Oxide (EtO),13,15,5,2.95,38
Ultrasound Scanner,ZIM781,Zimmer Biomet,v12.5,2024-02-10,Class II,IVDR-414833,Adult (18-65),Used for post-operative wound irrigation management in hospital recovery units.,Not recommended for patients with epilepsy or severe thrombocytopenia.,Single-Use Sterile,10,13,11,16.5,
Surgical Robot,BOS201,Boston Scientific,2025-11-R,2021-07-12,Class IIb,IVDR-704006,Adult,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Avoid use in patients with active pulmonary edema or compromised respiratory function.,Steam Sterilization,9,21,6,16.77,14
X-Ray Machine,Plus867,B. Braun,Version 15,2015-08-03,Class I,CE7207,Pediatric,Indicated for continuous temperature monitoring during cardiac surgical procedures.,Avoid use in patients with severe hypertension or altered cognitive function.,Hydrogen Peroxide Plasma,2,13,6,0.69,26
Pacemaker,COO646,Cook Medical,Version 18,2021-03-31,Class I,HC-169359,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for cardiac disorders patients.,Do not use in patients with severe hypertension or severe malignant hyperthermia.,Gamma Irradiation,3,8,19,0.09,40
Electrosurgical Unit,A-7110,Hologic,2022-11-Z,2024-10-03,Class III,IVDR-365417,Pediatric (2-18),Designed for tissue regeneration assistance in geriatric care facilities for elderly patients.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,20,14,7,,37
ECG Machine,Model 3099,Zimmer Biomet,v5.7,2017-01-04,Class IIb,D800529,Pediatric,Indicated for routine monitoring screening in outpatient clinical facilities.,Not recommended in presence of active infections or at open wounds locations.,Single-Use Sterile,6,3,3,,32
Blood Glucose Monitor,X-5688,Intuitive Surgical,v15.3,2015-04-10,Class III,BLA949514,Adult and Pediatric,Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.,Avoid use in patients with hepatic dysfunction or severe malignant hyperthermia.,Not Applicable,7,19,3,0.25,29
